title,directors,actors,genre,comb
albela,Deepak Sareen,Govinda   Aishwarya Rai Bachchan   Jackie Shroff   Namrata Shirodkar,Romance,Deepak Sareen Govinda   Aishwarya Rai Bachchan   Jackie Shroff   Namrata Shirodkar Romance
lagaan: once upon a time in india,Ashutosh Gowariker,Aamir Khan   Gracy Singh   Rachel Shelley   Paul Blackthorne,Adventure   Drama   Musical,Ashutosh Gowariker Aamir Khan   Gracy Singh   Rachel Shelley   Paul Blackthorne Adventure   Drama   Musical
meri biwi ka jawab nahin,Pankaj Parashar   S.M. Iqbal,Akshay Kumar   Sridevi   Gulshan Grover   Laxmikant Berde,Action   Comedy,Pankaj Parashar   S.M. Iqbal Akshay Kumar   Sridevi   Gulshan Grover   Laxmikant Berde Action   Comedy
hum tumhare hain sanam,K.S. Adiyaman,Shah Rukh Khan   Madhuri Dixit   Salman Khan   Atul Agnihotri,Drama   Romance,K.S. Adiyaman Shah Rukh Khan   Madhuri Dixit   Salman Khan   Atul Agnihotri Drama   Romance
one 2 ka 4,Shashilal K. Nair,Shah Rukh Khan   Juhi Chawla   Jackie Shroff   Nirmal Pandey,Action   Comedy   Drama,Shashilal K. Nair Shah Rukh Khan   Juhi Chawla   Jackie Shroff   Nirmal Pandey Action   Comedy   Drama
devdas,Sanjay Leela Bhansali,Shah Rukh Khan   Madhuri Dixit   Aishwarya Rai Bachchan   Jackie Shroff,Musical   Romance,Sanjay Leela Bhansali Shah Rukh Khan   Madhuri Dixit   Aishwarya Rai Bachchan   Jackie Shroff Musical   Romance
aap mujhe achche lagne lage,Vikram Bhatt,Hrithik Roshan   Ameesha Patel   Kiran Kumar   Mukesh Tiwari,Action   Drama   Romance,Vikram Bhatt Hrithik Roshan   Ameesha Patel   Kiran Kumar   Mukesh Tiwari Action   Drama   Romance
kabhi khushi kabhie gham...,Karan Johar,Amitabh Bachchan   Jaya Bhaduri   Shah Rukh Khan   Kajol,Drama   Musical   Romance,Karan Johar Amitabh Bachchan   Jaya Bhaduri   Shah Rukh Khan   Kajol Drama   Musical   Romance
na tum jaano na hum,Arjun Sablok,Saif Ali Khan   Hrithik Roshan   Esha Deol   Alok Nath,Comedy   Drama   Musical,Arjun Sablok Saif Ali Khan   Hrithik Roshan   Esha Deol   Alok Nath Comedy   Drama   Musical
yaadein...,Subhash Ghai,Jackie Shroff   Hrithik Roshan   Kareena Kapoor   Amrish Puri,Musical   Drama   Romance,Subhash Ghai Jackie Shroff   Hrithik Roshan   Kareena Kapoor   Amrish Puri Musical   Drama   Romance
